item,skill_tokusyukouka,hosei_per,hosei_value,kougekizi_no_kakuritu_hosei,hanekaesu_kakuritu_hosei,tern_kaisizi_sentou_syuuryouzi,condition,genkaitoppa,rensei
"ドラゴンロッド","錬成ぶき特別演出解放",,,,,,,,4
"ドラゴンブーメラン","かまいたち",,,,,,,,
"ドラゴンブーメラン","スライムブロウ",,,,,,,,
"ドラゴンブーメラン","ジバリカ",,,,,,,,
"ドラゴンブーメラン","シャインスコール",,,,,,,,
"ドラゴンブーメラン","レボルスライサー",,,,,,,,
"ドラゴンブーメラン","ドラゴン系へのダメージ",5,,,,,,,
"ドラゴンブーメラン","ドラゴン系へのダメージ",5,,,,,,,
"ドラゴンブーメラン","攻撃時確率で麻痺を与える",,,2,,,,,
"ドラゴンブーメラン","攻撃力",,12,,,,,,
"ドラゴンブーメラン","守備減成功率",10,,,,,,,1
"ドラゴンブーメラン","レボルスライサー改",,,,,,,,2
"ドラゴンブーメラン","ドラゴン系へのダメージ",10,,,,,,,3
"ドラゴンブーメラン","錬成ぶき特別演出解放",,,,,,,,4
"黄竜のツメ","ドラゴンネイル",,,,,,,,
"黄竜のツメ","しんくうは",,,,,,,,
"黄竜のツメ","せいけんづき",,,,,,,,
"黄竜のツメ","裂鋼拳",,,,,,,,
"黄竜のツメ","龍牙疾風拳",,,,,,,,
"黄竜のツメ","ドラゴン系へのダメージ",5,,,,,,,
"黄竜のツメ","ドラゴン系へのダメージ",5,,,,,,,
"黄竜のツメ","すばやさ",,5,,,,,,
"黄竜のツメ","攻撃力",,12,,,,,,
"黄竜のツメ","植物系へのダメージ",10,,,,,,,1
"黄竜のツメ","龍牙疾風拳改",,,,,,,,2
"黄竜のツメ","植物系へのダメージ",10,,,,,,,3
"黄竜のツメ","錬成ぶき特別演出解放",,,,,,,,4
"コドラウィップ","ドラゴン打ち",,,,,,,,
"コドラウィップ","ねむり打ち",,,,,,,,
"コドラウィップ","しんくうげり",,,,,,,,
"コドラウィップ","ドラゴン系へのダメージ",5,,,,,,,
"コドラウィップ","攻撃時確率で混乱を与える",,,2,,,,,
"コドラウィップ","攻撃力",,8,,,,,,
"りゅうおうのつえ","ドルマ",,,,,,,,
"りゅうおうのつえ","ベギラマ",,,,,,,,
"りゅうおうのつえ","マホトーン",,,,,,,,
"りゅうおうのつえ","ベギラゴン",,,,,,,,
"りゅうおうのつえ","ドルモーア",,,,,,,,
"りゅうおうのつえ","物質系へのダメージ",5,,,,,,,
"りゅうおうのつえ","ドルマ属性じゅもんダメージ",10,,,,,,,
"りゅうおうのつえ","さいだいMP",,12,,,,,,
"りゅうおうのつえ","こうげき魔力",,12,,,,,,
"りゅうおうのつえ","物質系へのダメージ",10,,,,,,,1
"りゅうおうのつえ","ドルモーア改",,,,,,,,2
"りゅうおうのつえ","物質系へのダメージ",10,,,,,,,3
"りゅうおうのつえ","錬成ぶき特別演出解放",,,,,,,,4
"ロトのつるぎ","りゅうおうへのダメージ",20,,,,,,,
"ロトのつるぎ","いなずま斬り",,,,,,,,
"ロトのつるぎ","ドラゴン斬り",,,,,,,,
"ロトのつるぎ","渾身斬り",,,,,,,,
"ロトのつるぎ","さみだれ斬り",,,,,,,,
"ロトのつるぎ","ギガスラッシュ",,,,,,,,
"ロトのつるぎ","りゅうおうへのダメージ",30,,,,,,,
"ロトのつるぎ","さいだいMP",,12,,,,,,
"ロトのつるぎ","攻撃時確率で眠りを与える",,,2,,,,,
"ロトのつるぎ","攻撃力",,12,,,,,,
"ロトのつるぎ","竜王へのダメージ",10,,,,,,,1
"ロトのつるぎ","ギガスラッシュ改",,,,,,,,2
"ロトのつるぎ","ドラゴン系へのダメージ",20,,,,,,,3
"ロトのつるぎ","錬成ぶき特別演出解放",,,,,,,,4
"ロトのつるぎ","ギガスラッシュ改のダメージ",2,,,,,,,5
"ロトのつるぎ","ギガスラッシュ改のダメージ",2,,,,,,,6
"ロトのつるぎ","ギガスラッシュ改のダメージ",3,,,,,,,7
"ロトのつるぎ","ギガスラッシュ改のダメージ",3,,,,,,,8
"ロトのつるぎ","ギガスラッシュ改のダメージ",4,,,,,,,9
"ラダトームのつるぎ","いなずま斬り",,,,,,,,
"ラダトームのつるぎ","ぶんまわし",,,,,,,,
"ラダトームのつるぎ","はやぶさ斬り",,,,,,,,
"ラダトームのつるぎ","りゅうおうへのダメージ",5,,,,,,,
"ラダトームのつるぎ","デイン属性とくぎダメージ",2,,,,,,,
"ラダトームのつるぎ","攻撃時確率で混乱を与える",,,2,,,,,
"ラダトームのつるぎ","攻撃力",,5,,,,,,
"やしゃのこん","黄泉送り",,,,,,,,
"やしゃのこん","あしばらい",,,,,,,,
"やしゃのこん","なぎはらい",,,,,,,,
"やしゃのこん","しんくうげり",,,,,,,,
"やしゃのこん","氷結らんげき",,,,,,,,
"やしゃのこん","水系へのダメージ",10,,,,,,,
"やしゃのこん","けもの系へのダメージ",10,,,,,,,
"やしゃのこん","攻撃時確率で麻痺を与える",,,2,,,,,
"やしゃのこん","攻撃力",,12,,,,,,
"グレートアックス","たいぼく斬",,,,,,,,
"グレートアックス","かぶとわり",,,,,,,,
"グレートアックス","まじん斬り",,,,,,,,
"グレートアックス","鉄甲斬",,,,,,,,
"グレートアックス","オノむそう",,,,,,,,
"グレートアックス","植物系へのダメージ",10,,,,,,,
"グレートアックス","物質系へのダメージ",10,,,,,,,
"グレートアックス","攻撃時確率で麻痺を与える",,,2,,,,,
"グレートアックス","攻撃力",,12,,,,,,
"クリスタルクロー","ウィングブロウ",,,,,,,,
"クリスタルクロー","せいけんづき",,,,,,,,
"クリスタルクロー","まわしげり",,,,,,,,
"クリスタルクロー","裂鋼拳",,,,,,,,
"クリスタルクロー","ゴッドスマッシュ",,,,,,,,
"クリスタルクロー","物質系へのダメージ",10,,,,,,,
"クリスタルクロー","きようさ",,5,,,,,,
"クリスタルクロー","攻撃時確率で毒を与える",,,2,,,,,
"クリスタルクロー","攻撃力",,12,,,,,,
"メタスラのやり","メタル系+1ダメージ",,,,,,,,
"メタスラのやり","ムーンサルト",,,,,,,,
"メタスラのやり","けものづき",,,,,,,,
"メタスラのやり","一閃突き",,,,,,,,
"メタスラのやり","まわしげり",,,,,,,,
"メタスラのやり","超さみだれ突き",,,,,,,,
"メタスラのやり","スライム系へのダメージ",10,,,,,,,
"メタスラのやり","守備力",,12,,,,,,
"メタスラのやり","攻撃力",,12,,,,,,
"メタスラのやり","スライム系へのダメージ",20,,,,,,,1
"メタスラのやり","超メタルさみだれ突き",,,,,,,,2
"メタスラのやり","メタルまわしげり",,,,,,,,3
"メタスラのやり","錬成ぶき特別演出解放",,,,,,,,4
"らいじんのやり","けものづき",,,,,,,,
"らいじんのやり","ムーンサルト",,,,,,,,
"らいじんのやり","まわしげり",,,,,,,,
"らいじんのやり","背水のかまえ",,,,,,,,
"らいじんのやり","雷光さみだれ突き",,,,,,,,
"らいじんのやり","けもの系へのダメージ",10,,,,,,,
"らいじんのやり","水系へのダメージ",10,,,,,,,
"らいじんのやり","攻撃時確率で麻痺を与える",,,2,,,,,
"らいじんのやり","攻撃力",,12,,,,,,
"ゴシックパラソル","ヒャド",,,,,,,,
"ゴシックパラソル","ラリホー",,,,,,,,
"ゴシックパラソル","ヒャダルコ",,,,,,,,
"ゴシックパラソル","戦闘終了時にMPを回復する",,,,,10,,,
"ゴシックパラソル","マヒャド",,,,,,,,
"ゴシックパラソル","植物系へのダメージ",10,,,,,,,
"ゴシックパラソル","ヒャド属性じゅもんダメージ",10,,,,,,,
"ゴシックパラソル","さいだいMP",,12,,,,,,
"ゴシックパラソル","こうげき魔力",,12,,,,,,
"ひかりのタクト","キアリク",,,,,,,,
"ひかりのタクト","バギマ",,,,,,,,
"ひかりのタクト","いやしのかぜ",,,,,,,,
"ひかりのタクト","戦闘終了時にMPを回復する",,,,,10,,,
"ひかりのタクト","ザオラル",,,,,,,,
"ひかりのタクト","エレメント系へのダメージ",10,,,,,,,
"ひかりのタクト","とくぎHP回復効果",20,,,,,,,
"ひかりのタクト","さいだいMP",,12,,,,,,
"ひかりのタクト","かいふく魔力",,12,,,,,,
"メタスラの剣","メタル系+1ダメージ",,,,,,,,
"メタスラの剣","かえん斬り",,,,,,,,
"メタスラの剣","メタル斬り",,,,,,,,
"メタスラの剣","ぶんまわし",,,,,,,,
"メタスラの剣","ミラクルソード",,,,,,,,
"メタスラの剣","メタルはやぶさ斬り",,,,,,,,
"メタスラの剣","スライム系へのダメージ",10,,,,,,,
"メタスラの剣","守備力",,12,,,,,,
"メタスラの剣","攻撃力",,12,,,,,,
"メタスラの剣","怪人系へのダメージ",20,,,,,,,1
"メタスラの剣","メタルはやぶさ斬り改",,,,,,,,2
"メタスラの剣","会心率",2,,,,,,,3
"メタスラの剣","錬成ぶき特別演出解放",,,,,,,,4
"名刀斬鉄丸","ドラゴン斬り",,,,,,,,
"名刀斬鉄丸","ぶんまわし",,,,,,,,
"名刀斬鉄丸","もろば斬り",,,,,,,,
"名刀斬鉄丸","はやぶさ斬り",,,,,,,,
"名刀斬鉄丸","つるぎのまい",,,,,,,,
"名刀斬鉄丸","けもの系へのダメージ",10,,,,,,,
"名刀斬鉄丸","植物系へのダメージ",10,,,,,,,
"名刀斬鉄丸","攻撃時確率で混乱を与える",,,2,,,,,
"名刀斬鉄丸","攻撃力",,12,,,,,,
"キラーピアス","ヴァイパーファング",,,,,,,,
"キラーピアス","アサシンアタック",,,,,,,,
"キラーピアス","カオスエッジ",,,,,,,,
"キラーピアス","ヒュプノスハント",,,,,,,,
"キラーピアス","ジバリーナ",,,,,,,,
"キラーピアス","けもの系へのダメージ",10,,,,,,,
"キラーピアス","きようさ",,5,,,,,,
"キラーピアス","攻撃時確率で即死を与える",,,2,,,,,
"キラーピアス","攻撃力",,12,,,,,,
"まどろみのこん","黄泉送り",,,,,,,,
"まどろみのこん","バギマ",,,,,,,,
"まどろみのこん","いやしのかぜ",,,,,,,,
"まどろみのこん","水系へのダメージ",10,,,,,,,
"まどろみのこん","かいふく魔力",,10,,,,,,
"まどろみのこん","攻撃力",,8,,,,,,
"らせつのこん","あしばらい",,,,,,,,
"らせつのこん","なぎはらい",,,,,,,,
"らせつのこん","しんくうげり",,,,,,,,
"らせつのこん","鳥系へのダメージ",10,,,,,,,
"らせつのこん","攻撃時確率で麻痺を与える",,,2,,,,,
"らせつのこん","攻撃力",,8,,,,,,
"レックスのオノ","たいぼく斬",,,,,,,,
"レックスのオノ","まじん斬り",,,,,,,,
"レックスのオノ","鉄甲斬",,,,,,,,
"レックスのオノ","けもの系へのダメージ",10,,,,,,,
"レックスのオノ","攻撃時確率で麻痺を与える",,,2,,,,,
"レックスのオノ","攻撃力",,8,,,,,,
"キングアックス","たいぼく斬",,,,,,,,
"キングアックス","かぶとわり",,,,,,,,
"キングアックス","鉄甲斬",,,,,,,,
"キングアックス","植物系へのダメージ",10,,,,,,,
"キングアックス","攻撃時確率で混乱を与える",,,2,,,,,
"キングアックス","攻撃力",,8,,,,,,
"黒ヒョウのツメ","ウィングブロウ",,,,,,,,
"黒ヒョウのツメ","せいけんづき",,,,,,,,
"黒ヒョウのツメ","裂鋼拳",,,,,,,,
"黒ヒョウのツメ","物質系へのダメージ",10,,,,,,,
"黒ヒョウのツメ","攻撃時確率で麻痺を与える",,,2,,,,,
"黒ヒョウのツメ","攻撃力",,8,,,,,,
"あくまのツメ","ウィングブロウ",,,,,,,,
"あくまのツメ","まわしげり",,,,,,,,
"あくまのツメ","タイガークロー",,,,,,,,
"あくまのツメ","スライム系へのダメージ",10,,,,,,,
"あくまのツメ","攻撃時確率で毒を与える",,,2,,,,,
"あくまのツメ","攻撃力",,8,,,,,,
"シルバークロー","ウィングブロウ",,,,,,,,
"シルバークロー","せいけんづき",,,,,,,,
"シルバークロー","タイガークロー",,,,,,,,
"シルバークロー","スライム系へのダメージ",10,,,,,,,
"シルバークロー","攻撃時確率で毒を与える",,,2,,,,,
"シルバークロー","攻撃力",,5,,,,,,
"ツインスワロー","かまいたち",,,,,,,,
"ツインスワロー","パワフルスロー",,,,,,,,
"ツインスワロー","シャインコール",,,,,,,,
"ツインスワロー","鳥系へのダメージ",10,,,,,,,
"ツインスワロー","攻撃時確率で麻痺を与える",,,2,,,,,
"ツインスワロー","攻撃力",,8,,,,,,
"マジックチャクラム","かまいたち",,,,,,,,
"マジックチャクラム","バギマ",,,,,,,,
"マジックチャクラム","いやしのかぜ",,,,,,,,
"マジックチャクラム","虫系へのダメージ",10,,,,,,,
"マジックチャクラム","かいふく魔力",,6,,,,,,
"マジックチャクラム","攻撃力",,8,,,,,,
"パイソンウィップ","スパークショット",,,,,,,,
"パイソンウィップ","らせん打ち",,,,,,,,
"パイソンウィップ","しばり打ち",,,,,,,,
"パイソンウィップ","植物系へのダメージ",10,,,,,,,
"パイソンウィップ","攻撃時確率で毒を与える",,,2,,,,,
"パイソンウィップ","攻撃力",,8,,,,,,
"スコーピオンテイル","スパークショット",,,,,,,,
"スコーピオンテイル","ドルマ",,,,,,,,
"スコーピオンテイル","イオラ",,,,,,,,
"スコーピオンテイル","虫系へのダメージ",10,,,,,,,
"スコーピオンテイル","攻撃時確率で毒を与える",,,2,,,,,
"スコーピオンテイル","攻撃力",,8,,,,,,
"パルチザン","けものづき",,,,,,,,
"パルチザン","まわしげり",,,,,,,,
"パルチザン","さみだれ突き",,,,,,,,
"パルチザン","けもの系へのダメージ",10,,,,,,,
"パルチザン","攻撃時確率で麻痺を与える",,,2,,,,,
"パルチザン","攻撃力",,8,,,,,,
"セラフィムのやり","ムーンサルト",,,,,,,,
"セラフィムのやり","一閃突き",,,,,,,,
"セラフィムのやり","さみだれ突き",,,,,,,,
"セラフィムのやり","エレメント系へのダメージ",10,,,,,,,
"セラフィムのやり","攻撃時確率で眠りを与える",,,2,,,,,
"セラフィムのやり","攻撃力",,8,,,,,,
"ユグドラシル","キアリク",,,,,,,,
"ユグドラシル","バギマ",,,,,,,,
"ユグドラシル","いやしのかぜ",,,,,,,,
"ユグドラシル","エレメント系へのダメージ",10,,,,,,,
"ユグドラシル","さいだいMP",,8,,,,,,
"ユグドラシル","かいふく魔力",,8,,,,,,
"ペロリンステッキ","ラリホー",,,,,,,,
"ペロリンステッキ","メラミ",,,,,,,,
"ペロリンステッキ","イオラ",,,,,,,,
"ペロリンステッキ","植物系へのダメージ",10,,,,,,,
"ペロリンステッキ","さいだいMP",,8,,,,,,
"ペロリンステッキ","こうげき魔力",,8,,,,,,
"スターリーステッキ","ラリホー",,,,,,,,
"スターリーステッキ","メラミ",,,,,,,,
"スターリーステッキ","ヒャダルコ",,,,,,,,
"スターリーステッキ","スライム系へのダメージ",10,,,,,,,
"スターリーステッキ","さいだいMP",,5,,,,,,
"スターリーステッキ","こうげき魔力",,5,,,,,,
"ツインクルタクト","キアリク",,,,,,,,
"ツインクルタクト","バギマ",,,,,,,,
"ツインクルタクト","聖なる祈り",,,,,,,,
"ツインクルタクト","スライム系へのダメージ",10,,,,,,,
"ツインクルタクト","さいだいMP",,5,,,,,,
"ツインクルタクト","かいふく魔力",,5,,,,,,
"破天のサーベル","マヒャド斬り",,,,,,,,
"破天のサーベル","渾身斬り",,,,,,,,
"破天のサーベル","さみだれ斬り",,,,,,,,
"破天のサーベル","鳥系へのダメージ",10,,,,,,,
"破天のサーベル","攻撃時確率で麻痺を与える",,,2,,,,,
"破天のサーベル","攻撃力",,8,,,,,,
"戦士の剣","かえん斬り",,,,,,,,
"戦士の剣","ぶんまわし",,,,,,,,
"戦士の剣","ミラクルソード",,,,,,,,
"戦士の剣","けもの系へのダメージ",10,,,,,,,
"戦士の剣","攻撃時確率で混乱を与える",,,2,,,,,
"戦士の剣","攻撃力",,8,,,,,,
"ぎんのレイピア","かえん斬り",,,,,,,,
"ぎんのレイピア","ぶんまわし",,,,,,,,
"ぎんのレイピア","さみだれ斬り",,,,,,,,
"ぎんのレイピア","スライム系へのダメージ",10,,,,,,,
"ぎんのレイピア","攻撃時確率で毒を与える",,,2,,,,,
"ぎんのレイピア","攻撃力",,5,,,,,,
"よるのパピヨン","ヴァイパーファング",,,,,,,,
"よるのパピヨン","スリープダガー",,,,,,,,
"よるのパピヨン","バンパイアエッジ",,,,,,,,
"よるのパピヨン","虫系へのダメージ",10,,,,,,,
"よるのパピヨン","攻撃時確率で毒を与える",,,2,,,,,
"よるのパピヨン","攻撃力",,8,,,,,,
"ソードブレイカー","ヴァイパーファング",,,,,,,,
"ソードブレイカー","タナトスハント",,,,,,,,
"ソードブレイカー","ジバリカ",,,,,,,,
"ソードブレイカー","けもの系へのダメージ",10,,,,,,,
"ソードブレイカー","攻撃時確率で毒を与える",,,2,,,,,
"ソードブレイカー","攻撃力",,8,,,,,,
"ぎんの短剣","ヴァイパーファング",,,,,,,,
"ぎんの短剣","スリープダガー",,,,,,,,
"ぎんの短剣","ジバリカ",,,,,,,,
"ぎんの短剣","鳥系へのダメージ",10,,,,,,,
"ぎんの短剣","攻撃時確率で毒を与える",,,2,,,,,
"ぎんの短剣","攻撃力",,5,,,,,,
"えんぶのこん","黄泉送り",,,,,,,,
"えんぶのこん","水系へのダメージ",5,,,,,,,
"えんぶのこん","攻撃力",,5,,,,,,
"セレモニーロッド","あしばらい",,,,,,,,
"セレモニーロッド","鳥系へのダメージ",5,,,,,,,
"セレモニーロッド","攻撃力",,5,,,,,,
"ライトアックス","たいぼく斬",,,,,,,,
"ライトアックス","植物系へのダメージ",5,,,,,,,
"ライトアックス","攻撃力",,5,,,,,,
"バトルアックス","たいぼく斬",,,,,,,,
"バトルアックス","けもの系へのダメージ",5,,,,,,,
"バトルアックス","攻撃力",,5,,,,,,
"こあくまネイル","ウィングブロウ",,,,,,,,
"こあくまネイル","スライム系へのダメージ",5,,,,,,,
"こあくまネイル","攻撃力",,5,,,,,,
"はがねのツメ","ウィングブロウ",,,,,,,,
"はがねのツメ","物質系へのダメージ",5,,,,,,,
"はがねのツメ","攻撃力",,5,,,,,,
"はがねのブーメラン","かまいたち",,,,,,,,
"はがねのブーメラン","鳥系へのダメージ",5,,,,,,,
"はがねのブーメラン","攻撃力",,5,,,,,,
"ニンジャカッター","かまいたち",,,,,,,,
"ニンジャカッター","虫系へのダメージ",5,,,,,,,
"ニンジャカッター","攻撃力",,5,,,,,,
"ローズウィップ","スパークショット",,,,,,,,
"ローズウィップ","植物系へのダメージ",5,,,,,,,
"ローズウィップ","攻撃力",,5,,,,,,
"はがねのムチ","スパークショット",,,,,,,,
"はがねのムチ","物質系へのダメージ",5,,,,,,,
"はがねのムチ","攻撃力",,5,,,,,,
"サタンフォーク","けものづき",,,,,,,,
"サタンフォーク","物質系へのダメージ",5,,,,,,,
"サタンフォーク","攻撃力",,5,,,,,,
"はがねのやり","ムーンサルト",,,,,,,,
"はがねのやり","エレメント系へのダメージ",5,,,,,,,
"はがねのやり","攻撃力",,5,,,,,,
"ラブリースティック","メラミ",,,,,,,,
"ラブリースティック","植物系へのダメージ",5,,,,,,,
"ラブリースティック","こうげき魔力",,5,,,,,,
"マジカルスティック","バギマ",,,,,,,,
"マジカルスティック","エレメント系へのダメージ",5,,,,,,,
"マジカルスティック","かいふく魔力",,5,,,,,,
"バスタードソード","マヒャド斬り",,,,,,,,
"バスタードソード","スライム系へのダメージ",5,,,,,,,
"バスタードソード","攻撃力",,5,,,,,,
"さんぞくのサーベル","かえん斬り",,,,,,,,
"さんぞくのサーベル","植物系へのダメージ",5,,,,,,,
"さんぞくのサーベル","攻撃力",,5,,,,,,
"くない","ヴァイパーファング",,,,,,,,
"くない","虫系へのダメージ",5,,,,,,,
"くない","攻撃力",,5,,,,,,
"イーグルダガー","ヴァイパーファング",,,,,,,,
"イーグルダガー","けもの系へのダメージ",5,,,,,,,
"イーグルダガー","攻撃力",,5,,,,,,
"セラフィの麦わら帽","水系への耐性",5,,,,,,,
"セラフィの麦わら帽","悪魔系への耐性",5,,,,,,,
"セラフィの麦わら帽","じゅもんHP回復効果",5,,,,,,,
"セラフィの麦わら帽","スキルHP回復効果",,,,,,"【晴れ】",,
"セラフィの麦わら帽","スキルHP回復効果",,,,,,"【大神官】",,
"セラフィの麦わら帽","すばやさ",,5,,,,,,
"セラフィの麦わら帽","水系への耐性",5,,,,,,,
"セラフィの麦わら帽","すばやさ",,10,,,,,,
"セラフィの麦わら帽","怪人系への耐性",5,,,,,,,
"セラフィの麦わら帽","かいふく魔力",,10,,,,,1,
"セラフィの麦わら帽","さいだいMP",,10,,,,,2,
"セラフィの麦わら帽","さいだいHP",,10,,,,,3,
"セラフィの麦わら帽","守備力",,10,,,,,4,
"あぶない水着'24上","ヒャド属性耐性",5,,,,,,,
"あぶない水着'24上","バギ属性耐性",5,,,,,,,
"あぶない水着'24上","じゅもんHP回復効果",5,,,,,,,
"あぶない水着'24上","スキルHP回復効果",,,,,,"【晴れ】",,
"あぶない水着'24上","スキルHP回復効果",,,,,,"【大神官】",,
"あぶない水着'24上","すばやさ",,5,,,,,,
"あぶない水着'24上","ジバリア属性耐性",5,,,,,,,
"あぶない水着'24上","すばやさ",,10,,,,,,
"あぶない水着'24上","バギ属性耐性",5,,,,,,,
"あぶない水着'24上","かいふく魔力",,10,,,,,1,
"あぶない水着'24上","さいだいMP",,10,,,,,2,
"あぶない水着'24上","さいだいHP",,10,,,,,3,
"あぶない水着'24上","守備力",,10,,,,,4,
"あぶない水着'24下","ふきとばし耐性",5,,,,,,,
"あぶない水着'24下","魅了耐性",5,,,,,,,
"あぶない水着'24下","じゅもんHP回復効果",5,,,,,,,
"あぶない水着'24下","スキルHP回復効果",,,,,,"【晴れ】",,
"あぶない水着'24下","スキルHP回復効果",,,,,,"【大神官】",,
"あぶない水着'24下","すばやさ",,5,,,,,,
"あぶない水着'24下","ふきとばし耐性",5,,,,,,,
"あぶない水着'24下","すばやさ",,10,,,,,,
"あぶない水着'24下","魅了耐性",5,,,,,,,
"あぶない水着'24下","かいふく魔力",,10,,,,,1,
"あぶない水着'24下","さいだいMP",,10,,,,,2,
"あぶない水着'24下","さいだいHP",,10,,,,,3,
"あぶない水着'24下","守備力",,10,,,,,4,
"黄色いにわかなお面","攻撃力",,2,,,,,1,
"黄色いにわかなお面","守備力",,2,,,,,2,
"黄色いにわかなお面","すばやさ",,3,,,,,3,
"黄色いにわかなお面","さいだいHP",,2,,,,,4,
"にわかなお面","攻撃力",,2,,,,,1,
"にわかなお面","守備力",,2,,,,,2,
"にわかなお面","すばやさ",,3,,,,,3,
"にわかなお面","さいだいHP",,2,,,,,4,
"セラフィアンクレット","じゅもんHP回復効果",2,,,,,,,
"闇の大魔王の滅角","ゾンビ系への耐性",5,,,,,,,
"闇の大魔王の滅角","戦闘終了時にMPを回復する",,,,,3,,,
"闇の大魔王の滅角","鳥系への耐性",5,,,,,,,
"闇の大魔王の滅角","魔力の暴走率",2,,,,,,,
"闇の大魔王の滅角","魔力の暴走率",,,,,,"【夜間】",,
"闇の大魔王の滅角","じゅもんダメージ",5,,,,,,,
"闇の大魔王の滅角","ヒャド属性じゅもんダメージ",7,,,,,,,
"闇の大魔王の滅角","ゾンビ系への耐性",5,,,,,,,
"闇の大魔王の滅角","さいだいMP",,5,,,,,,
"闇の大魔王の滅角","ドラゴン系への耐性",5,,,,,,,
"闇の大魔王の滅角","こうげき魔力",,10,,,,,1,
"闇の大魔王の滅角","すばやさ",,12,,,,,2,
"闇の大魔王の滅角","守備力",,10,,,,,3,
"闇の大魔王の滅角","さいだいHP",,12,,,,,4,
"闇の大魔王のローブ上","メラ属性耐性",5,,,,,,,
"闇の大魔王のローブ上","戦闘終了時にMPを回復する",,,,,3,,,
"闇の大魔王のローブ上","ジバリア属性耐性",5,,,,,,,
"闇の大魔王のローブ上","魔力の暴走率",2,,,,,,,
"闇の大魔王のローブ上","魔力の暴走率",,,,,,"【夜間】",,
"闇の大魔王のローブ上","じゅもんダメージ",5,,,,,,,
"闇の大魔王のローブ上","ヒャド属性じゅもんダメージ",7,,,,,,,
"闇の大魔王のローブ上","デイン属性耐性",5,,,,,,,
"闇の大魔王のローブ上","すばやさ",,10,,,,,,
"闇の大魔王のローブ上","ジバリア属性耐性",5,,,,,,,
"闇の大魔王のローブ上","こうげき魔力",,10,,,,,1,
"闇の大魔王のローブ上","すばやさ",,12,,,,,2,
"闇の大魔王のローブ上","守備力",,10,,,,,3,
"闇の大魔王のローブ上","さいだいHP",,12,,,,,4,
"闇の大魔王のローブ下","麻痺耐性",5,,,,,,,
"闇の大魔王のローブ下","戦闘終了時にMPを回復する",,,,,3,,,
"闇の大魔王のローブ下","転び耐性",5,,,,,,,
"闇の大魔王のローブ下","魔力の暴走率",2,,,,,,,
"闇の大魔王のローブ下","魔力の暴走率",,,,,,"【夜間】",,
"闇の大魔王のローブ下","じゅもんダメージ",5,,,,,,,
"闇の大魔王のローブ下","ヒャド属性じゅもんダメージ",7,,,,,,,
"闇の大魔王のローブ下","麻痺耐性",5,,,,,,,
"闇の大魔王のローブ下","守備力",,7,,,,,,
"闇の大魔王のローブ下","転び耐性",10,,,,,,,
"ひかりのたま","ひかりのたまをささげる",,,,,,,,
"ひかりのたま","攻撃力",,30,,,,,,
"ひかりのたま","こうげき魔力",,30,,,,,,
"ひかりのたま","かいふく魔力",,30,,,,,,
"ラーミアの羽飾り","けもの系への耐性",5,,,,,,,
"ラーミアの羽飾り","バラモスへのダメージ",10,,,,,,,
"ラーミアの羽飾り","影縫いの発動率",,,,,,"【ニンジャ】",,
"ラーミアの羽飾り","鳥系への耐性",5,,,,,,,
"ラーミアの羽飾り","スキルの斬撃・体技ダメージ",5,,,,,,,
"ラーミアの羽飾り","HP100%以上のときスキルの体技ダメージ",3,,,,,,,
"ラーミアの羽飾り","イオ属性斬撃・体技ダメージ",7,,,,,,,
"ラーミアの羽飾り","メラ属性斬撃・体技ダメージ",7,,,,,,,
"ラーミアの羽飾り","けもの系への耐性",5,,,,,,,
"ラーミアの羽飾り","すばやさ",,6,,,,,,
"ラーミアの羽飾り","ドラゴン系への耐性",5,,,,,,,
"ラーミアの羽飾り","さいだいMP",,5,,,,,,
"ラーミアの羽飾り","攻撃力",,10,,,,,1,
"ラーミアの羽飾り","すばやさ",,12,,,,,2,
"ラーミアの羽飾り","守備力",,10,,,,,3,
"ラーミアの羽飾り","さいだいHP",,12,,,,,4,
"ラーミアの霊衣上","ドルマ属性耐性",5,,,,,,,
"ラーミアの霊衣上","バラモスへの耐性",10,,,,,,,
"ラーミアの霊衣上","分身の術の発動率",,,,,,"【ニンジャ】",,
"ラーミアの霊衣上","ジバリア属性耐性",5,,,,,,,
"ラーミアの霊衣上","スキルの斬撃・体技ダメージ",5,,,,,,,
"ラーミアの霊衣上","HP100%以上のときスキルの体技ダメージ",3,,,,,,,
"ラーミアの霊衣上","イオ属性斬撃・体技ダメージ",7,,,,,,,
"ラーミアの霊衣上","メラ属性斬撃・体技ダメージ",7,,,,,,,
"ラーミアの霊衣上","ドルマ属性耐性",5,,,,,,,
"ラーミアの霊衣上","すばやさ",,6,,,,,,
"ラーミアの霊衣上","ジバリア属性耐性",5,,,,,,,
"ラーミアの霊衣上","さいだいMP",,5,,,,,,
"ラーミアの霊衣上","攻撃力",,10,,,,,1,
"ラーミアの霊衣上","すばやさ",,12,,,,,2,
"ラーミアの霊衣上","守備力",,10,,,,,3,
"ラーミアの霊衣上","さいだいHP",,12,,,,,4,
"ラーミアの霊衣下","転び耐性",5,,,,,,,
"ラーミアの霊衣下","バラモスへの耐性",10,,,,,,,
"ラーミアの霊衣下","鼓舞激励の発動率",,,,,,"【大神官】",,
"ラーミアの霊衣下","麻痺耐性",5,,,,,,,
"ラーミアの霊衣下","スキルの斬撃・体技ダメージ",5,,,,,,,
